 "y",    "x",   "data"
 85.10,222.19,  0.00,
 85.10,225.00,  0.00,
 85.10,227.81,  0.00,
 85.10,230.62,  0.00,
 85.10,233.44,  0.00,
 85.10,236.25,  0.00,
 85.10,239.06,  0.00,
 85.10,241.88,  0.00,
 85.10,244.69,  0.00,
 85.10,247.50,  0.00,
 85.10,250.31,  0.00,
 85.10,253.12,  0.00,
 85.10,255.94,  0.00,
 85.10,258.75,  0.00,
 85.10,261.56,  0.00,
 85.10,264.38,  0.00,
 85.10,267.19,  0.00,
 85.10,270.00,  0.00,
 85.10,272.81,  0.00,
 85.10,275.62,  0.00,
 85.10,278.44,  0.00,
 85.10,281.25,  0.00,
 85.10,284.06,  0.00,
 85.10,286.88,  0.00,
 85.10,289.69,  0.00,
 85.10,292.50,  0.00,
 85.10,295.31,  0.00,
 85.10,298.12,  0.00,
 85.10,300.94,  0.00,
 85.10,303.75,  0.00,
 85.10,306.56,  0.00,
 85.10,309.38,  0.00,
 85.10,312.19,  0.00,
 85.10,315.00,  0.00,
 85.10,317.81,  0.00,
 85.10,320.62,  0.00,
 85.10,323.44,  0.00,
 85.10,326.25,  0.00,
 85.10,329.06,  0.00,
 85.10,331.88,  0.00,
 85.10,334.69,  0.00,
 85.10,337.50,  0.00,
 85.10,340.31,  0.00,
 85.10,343.12,  0.00,
 85.10,345.94,  0.00,
 85.10,348.75,  0.00,
 85.10,351.56,  0.00,
 85.10,354.38,  0.00,
 85.10,357.19,  0.00,
 82.31,  0.00,  0.00,
 82.31,  2.81,  0.00,
 82.31,  5.62,  0.00,
 82.31,  8.44,  0.00,
 82.31, 11.25,  0.00,
 82.31, 14.06,  0.00,
 82.31, 16.88,  0.00,
 82.31, 19.69,  0.00,
 82.31, 22.50,  0.00,
 82.31, 25.31,  0.00,
 82.31, 28.12,  0.00,
 82.31, 30.94,  0.00,
 82.31, 33.75,  0.00,
 82.31, 36.56,  0.00,
 82.31, 39.38,  0.00,
 82.31, 42.19,  0.00,
 82.31, 45.00,  0.00,
 82.31, 47.81,  0.00,
 82.31, 50.62,  0.00,
 82.31, 53.44,  0.00,
 82.31, 56.25,  0.00,
 82.31, 59.06,  0.00,
 82.31, 61.88,  0.00,
 82.31, 64.69,  0.00,
 82.31, 67.50,  0.00,
 82.31, 70.31,  0.00,
 82.31, 73.12,  0.00,
 82.31, 75.94,  0.00,
 82.31, 78.75,  0.00,
